question_text,subject,cognitive_level_bloom,readability_score,word_count,sentence_count,time_taken_minutes,total_students_attempted,correct_attempts,incorrect_attempts,correct_percentage,learning_gap_score,discrimination_index,difficulty_label,assessment_quality_score
Analyze flowchart representing scenario number 1111.,Engineering Aptitude,understand,44.41,21,3,9,123,110,13,0.899,0.108,0.536,easy,0.716
Analyze flowchart representing scenario number 1112.,Engineering Aptitude,analyze,68.18,25,1,8,152,76,76,0.503,0.518,0.86,medium,0.677
Describe inheritance in scenario number 1113.,Computer Science,remember,47.67,27,1,10,257,220,37,0.857,0.161,0.649,easy,0.749
Determine stress on beam under scenario number 1114.,Engineering Aptitude,understand,48.4,16,2,7,118,65,53,0.554,0.496,0.826,medium,0.68
Solve the quadratic equation scenario number 1115.,Mathematics,apply,55.92,27,3,19,108,73,35,0.676,0.346,0.997,medium,0.832
Compute definite integral of scenario number 1116.,Mathematics,apply,61.3,44,3,10,145,84,61,0.585,0.416,0.848,medium,0.716
Solve the quadratic equation scenario number 1117.,Mathematics,apply,61.27,43,3,20,262,161,101,0.615,0.396,0.549,medium,0.58
Compute circuit resistance for scenario number 1118.,Physics,understand,53.75,25,3,17,146,113,33,0.775,0.236,0.793,easy,0.782
Solve the quadratic equation scenario number 1119.,Mathematics,apply,61.64,29,2,8,233,72,161,0.309,0.706,0.55,hard,0.427
Calculate efficiency of machine with scenario number 1120.,Engineering Aptitude,analyze,59.09,45,3,22,108,59,49,0.551,0.452,0.971,medium,0.76
Compute circuit resistance for scenario number 1121.,Physics,understand,47.91,16,1,6,183,141,42,0.773,0.254,0.936,easy,0.849
Solve the quadratic equation scenario number 1122.,Mathematics,apply,65.31,40,2,4,154,97,57,0.633,0.411,0.608,medium,0.612
Calculate electric field for scenario number 1123.,Physics,analyze,56.26,39,1,14,112,63,49,0.571,0.455,0.519,medium,0.54
Explain database normalization of scenario number 1124.,Computer Science,apply,64.23,37,2,8,122,61,61,0.507,0.498,0.71,medium,0.608
Apply Newton law to system scenario number 1125.,Physics,remember,50.91,22,1,10,203,156,47,0.773,0.264,0.982,easy,0.87
Analyze flowchart representing scenario number 1126.,Engineering Aptitude,understand,41.72,37,1,21,185,160,25,0.865,0.184,0.778,easy,0.812
Compute definite integral of scenario number 1127.,Mathematics,remember,44.17,37,2,9,265,203,62,0.768,0.248,0.822,easy,0.792
Calculate efficiency of machine with scenario number 1128.,Engineering Aptitude,apply,67.77,37,2,17,222,118,104,0.535,0.465,0.778,medium,0.657
Determine stress on beam under scenario number 1129.,Engineering Aptitude,remember,49.92,36,3,19,167,136,31,0.819,0.194,0.54,easy,0.677
Find derivative of function scenario number 1130.,Mathematics,understand,46.44,36,1,9,235,180,55,0.767,0.271,0.824,easy,0.788
Analyze time complexity of scenario number 1131.,Computer Science,analyze,64.56,26,3,16,278,189,89,0.683,0.358,0.794,medium,0.73
Compute definite integral of scenario number 1132.,Mathematics,analyze,58.78,18,3,18,162,89,73,0.554,0.454,0.989,medium,0.77
Analyze flowchart representing scenario number 1133.,Engineering Aptitude,create,72.16,29,1,19,220,78,142,0.356,0.672,0.766,hard,0.555
Analyze time complexity of scenario number 1134.,Computer Science,create,78.05,19,3,3,201,76,125,0.378,0.645,0.83,hard,0.599
Determine stress on beam under scenario number 1135.,Engineering Aptitude,apply,68.72,20,3,8,196,113,83,0.58,0.435,0.842,medium,0.708
Evaluate logical reasoning pattern in scenario number 1136.,Engineering Aptitude,understand,51.92,18,3,12,156,125,31,0.802,0.239,0.684,easy,0.735
Calculate efficiency of machine with scenario number 1137.,Engineering Aptitude,apply,56.88,40,2,24,118,76,42,0.65,0.373,0.86,medium,0.75
Evaluate logical reasoning pattern in scenario number 1138.,Engineering Aptitude,understand,41.61,27,2,3,257,196,61,0.763,0.286,0.628,easy,0.686
Analyze time complexity of scenario number 1139.,Computer Science,understand,46.84,40,1,6,125,31,94,0.255,0.786,0.774,hard,0.506
Solve the quadratic equation scenario number 1140.,Mathematics,create,70.82,29,1,23,245,93,152,0.382,0.653,0.648,hard,0.508
Describe inheritance in scenario number 1141.,Computer Science,evaluate,81.62,38,3,18,115,17,98,0.153,0.888,0.638,hard,0.387
Apply Newton law to system scenario number 1142.,Physics,analyze,68.96,48,1,7,270,149,121,0.555,0.463,0.87,medium,0.709
Analyze flowchart representing scenario number 1143.,Engineering Aptitude,evaluate,85.68,47,1,15,186,60,126,0.324,0.716,0.874,hard,0.591
Compute circuit resistance for scenario number 1144.,Physics,apply,61.62,27,2,7,287,134,153,0.468,0.563,0.716,medium,0.586
Evaluate matrix determinant for scenario number 1145.,Mathematics,create,71.42,38,3,23,215,40,175,0.187,0.818,0.968,hard,0.576
Find derivative of function scenario number 1146.,Mathematics,remember,45.67,42,3,5,266,224,42,0.843,0.164,0.646,easy,0.743
Determine stress on beam under scenario number 1147.,Engineering Aptitude,understand,42.17,19,1,15,159,141,18,0.889,0.138,0.77,easy,0.824
Calculate electric field for scenario number 1148.,Physics,understand,46.92,38,2,14,246,203,43,0.829,0.199,0.625,easy,0.721
Evaluate matrix determinant for scenario number 1149.,Mathematics,remember,45.97,46,1,8,110,86,24,0.783,0.247,0.855,easy,0.813
Determine stress on beam under scenario number 1150.,Engineering Aptitude,create,89.01,19,3,16,151,26,125,0.176,0.854,0.898,hard,0.531
Determine projectile motion range for scenario number 1151.,Physics,apply,62.13,41,2,10,159,89,70,0.56,0.47,0.516,medium,0.532
Solve the quadratic equation scenario number 1152.,Mathematics,analyze,57.55,45,2,11,224,145,79,0.65,0.389,0.593,medium,0.614
Evaluate logical reasoning pattern in scenario number 1153.,Engineering Aptitude,apply,64.51,18,1,14,174,103,71,0.597,0.414,0.659,medium,0.626
Calculate efficiency of machine with scenario number 1154.,Engineering Aptitude,create,74.8,20,2,16,118,23,95,0.2,0.811,0.748,hard,0.472
Calculate efficiency of machine with scenario number 1155.,Engineering Aptitude,analyze,59.15,22,1,15,152,72,80,0.48,0.542,0.515,medium,0.493
Calculate electric field for scenario number 1156.,Physics,evaluate,85.41,34,3,7,242,82,160,0.339,0.689,0.503,hard,0.416
Solve the quadratic equation scenario number 1157.,Mathematics,evaluate,78.59,40,1,4,236,74,162,0.316,0.72,0.5,hard,0.401
Compute definite integral of scenario number 1158.,Mathematics,evaluate,89.08,18,3,22,109,37,72,0.343,0.699,0.547,hard,0.437
Describe inheritance in scenario number 1159.,Computer Science,apply,66.08,17,2,3,173,118,55,0.684,0.338,0.8,medium,0.738
Analyze flowchart representing scenario number 1160.,Engineering Aptitude,evaluate,79.53,17,2,24,118,25,93,0.213,0.799,0.777,hard,0.492
Calculate efficiency of machine with scenario number 1161.,Engineering Aptitude,understand,51.94,46,3,18,123,65,58,0.535,0.477,0.895,medium,0.713
Determine stress on beam under scenario number 1162.,Engineering Aptitude,evaluate,82.69,18,1,15,155,53,102,0.347,0.676,0.751,hard,0.544
Calculate efficiency of machine with scenario number 1163.,Engineering Aptitude,analyze,62.81,41,1,12,102,44,58,0.437,0.61,0.727,medium,0.573
Implement binary search for scenario number 1164.,Computer Science,remember,51.02,20,3,23,213,178,35,0.839,0.196,0.852,easy,0.839
Evaluate logical reasoning pattern in scenario number 1165.,Engineering Aptitude,apply,62.39,35,2,10,159,93,66,0.59,0.422,0.652,medium,0.619
Compute definite integral of scenario number 1166.,Mathematics,apply,66.56,34,2,21,126,79,47,0.632,0.374,0.727,medium,0.678
Explain database normalization of scenario number 1167.,Computer Science,analyze,62.6,29,1,21,110,62,48,0.57,0.478,0.659,medium,0.605
Find derivative of function scenario number 1168.,Mathematics,understand,43.29,21,3,18,282,201,81,0.715,0.325,0.988,easy,0.844
Describe inheritance in scenario number 1169.,Computer Science,apply,64.67,20,1,6,137,88,49,0.648,0.393,0.967,medium,0.799
Describe inheritance in scenario number 1170.,Computer Science,evaluate,86.82,18,2,6,213,54,159,0.254,0.774,0.769,hard,0.506
Find derivative of function scenario number 1171.,Mathematics,analyze,63.48,19,1,8,166,113,53,0.683,0.322,0.633,medium,0.657
Compute circuit resistance for scenario number 1172.,Physics,create,79.9,22,1,4,239,87,152,0.364,0.656,0.634,hard,0.495
Evaluate logical reasoning pattern in scenario number 1173.,Engineering Aptitude,remember,45.21,15,1,12,279,228,51,0.82,0.204,0.893,easy,0.852
Apply Newton law to system scenario number 1174.,Physics,apply,69.21,32,3,24,115,67,48,0.585,0.437,0.591,medium,0.584
Determine stress on beam under scenario number 1175.,Engineering Aptitude,evaluate,88.85,21,2,16,265,90,175,0.343,0.692,0.883,hard,0.606
Find derivative of function scenario number 1176.,Mathematics,understand,46.62,19,1,23,169,128,41,0.762,0.261,0.837,easy,0.795
Apply Newton law to system scenario number 1177.,Physics,understand,48.12,17,2,18,270,221,49,0.821,0.223,0.662,easy,0.733
Evaluate matrix determinant for scenario number 1178.,Mathematics,remember,45.94,25,2,10,226,195,31,0.864,0.15,0.853,easy,0.856
Implement binary search for scenario number 1179.,Computer Science,apply,62.7,36,2,19,141,78,63,0.556,0.485,0.71,medium,0.625
Describe inheritance in scenario number 1180.,Computer Science,evaluate,73.88,33,2,17,165,56,109,0.342,0.698,0.791,hard,0.558
Calculate efficiency of machine with scenario number 1181.,Engineering Aptitude,create,85.62,27,3,14,142,42,100,0.296,0.75,0.528,hard,0.403
Find derivative of function scenario number 1182.,Mathematics,apply,55.44,23,3,9,164,95,69,0.584,0.418,0.94,medium,0.762
Analyze flowchart representing scenario number 1183.,Engineering Aptitude,understand,52.19,21,1,23,200,168,32,0.844,0.161,0.817,easy,0.829
Evaluate logical reasoning pattern in scenario number 1184.,Engineering Aptitude,apply,59.3,18,3,18,269,122,147,0.454,0.588,0.506,medium,0.472
Determine projectile motion range for scenario number 1185.,Physics,create,76.24,44,2,19,248,28,220,0.116,0.914,0.543,hard,0.324
Compute definite integral of scenario number 1186.,Mathematics,remember,50.53,21,1,18,112,91,21,0.82,0.194,0.764,easy,0.789
Calculate efficiency of machine with scenario number 1187.,Engineering Aptitude,understand,47.76,21,2,19,112,99,13,0.89,0.149,0.643,easy,0.759
Calculate electric field for scenario number 1188.,Physics,create,86.88,48,1,20,287,44,243,0.157,0.878,0.645,hard,0.394
Calculate electric field for scenario number 1189.,Physics,apply,59.46,34,2,24,147,78,69,0.537,0.482,0.857,medium,0.693
Calculate efficiency of machine with scenario number 1190.,Engineering Aptitude,create,71.39,27,3,14,204,54,150,0.269,0.738,0.575,hard,0.421
Evaluate matrix determinant for scenario number 1191.,Mathematics,understand,51.89,36,2,18,190,146,44,0.771,0.233,0.837,easy,0.803
Apply Newton law to system scenario number 1192.,Physics,understand,52.38,47,3,20,248,195,53,0.79,0.233,0.729,easy,0.755
Explain database normalization of scenario number 1193.,Computer Science,create,75.17,18,1,15,122,23,99,0.195,0.841,0.56,hard,0.37
Describe inheritance in scenario number 1194.,Computer Science,analyze,57.53,30,1,18,106,70,36,0.664,0.35,0.553,medium,0.606
Describe inheritance in scenario number 1195.,Computer Science,apply,56.68,24,1,15,147,98,49,0.67,0.361,0.503,medium,0.58
Compute circuit resistance for scenario number 1196.,Physics,apply,57.79,34,3,7,144,65,79,0.454,0.579,0.732,medium,0.586
Calculate efficiency of machine with scenario number 1197.,Engineering Aptitude,remember,47.43,35,1,20,153,124,29,0.811,0.235,0.689,easy,0.741
Explain database normalization of scenario number 1198.,Computer Science,apply,61.96,15,2,5,200,83,117,0.418,0.629,0.571,medium,0.485
Evaluate matrix determinant for scenario number 1199.,Mathematics,remember,44.57,25,2,18,289,216,73,0.751,0.274,0.983,easy,0.862
Explain database normalization of scenario number 1200.,Computer Science,create,86.64,40,1,14,143,18,125,0.128,0.921,0.975,hard,0.542
Explain database normalization of scenario number 1201.,Computer Science,apply,56.17,43,3,13,275,111,164,0.406,0.624,0.835,medium,0.615
Implement binary search for scenario number 1202.,Computer Science,understand,49.04,43,3,6,298,229,69,0.77,0.254,0.667,easy,0.714
Apply Newton law to system scenario number 1203.,Physics,evaluate,72.15,36,2,12,175,67,108,0.386,0.619,0.973,hard,0.679
Evaluate logical reasoning pattern in scenario number 1204.,Engineering Aptitude,create,84.67,16,1,3,269,49,220,0.183,0.843,0.893,hard,0.533
Apply Newton law to system scenario number 1205.,Physics,create,87.63,45,1,14,132,30,102,0.232,0.81,0.745,hard,0.48
Evaluate logical reasoning pattern in scenario number 1206.,Engineering Aptitude,apply,59.67,16,1,14,115,58,57,0.506,0.53,0.579,medium,0.535
Analyze flowchart representing scenario number 1207.,Engineering Aptitude,analyze,58.78,35,2,5,140,56,84,0.404,0.603,0.711,medium,0.556
Find derivative of function scenario number 1208.,Mathematics,apply,56.03,18,2,10,208,115,93,0.553,0.453,0.869,medium,0.71
Compute circuit resistance for scenario number 1209.,Physics,create,77.94,44,2,23,161,18,143,0.117,0.893,0.955,hard,0.534
Explain database normalization of scenario number 1210.,Computer Science,understand,47.8,48,3,11,232,200,32,0.866,0.136,0.622,easy,0.743
Determine projectile motion range for scenario number 1211.,Physics,remember,42.29,38,1,13,126,112,14,0.897,0.146,0.844,easy,0.862
Determine stress on beam under scenario number 1212.,Engineering Aptitude,create,88.77,35,2,17,214,46,168,0.217,0.82,0.693,hard,0.448
Implement binary search for scenario number 1213.,Computer Science,create,76.61,36,1,6,272,105,167,0.387,0.655,0.844,hard,0.607
Analyze time complexity of scenario number 1214.,Computer Science,understand,44.42,24,3,7,102,90,12,0.884,0.146,0.902,easy,0.887
Implement binary search for scenario number 1215.,Computer Science,create,85.83,24,2,14,250,53,197,0.213,0.821,0.891,hard,0.545
Describe inheritance in scenario number 1216.,Computer Science,apply,62.96,37,1,10,175,83,92,0.475,0.536,0.76,medium,0.615
Explain database normalization of scenario number 1217.,Computer Science,evaluate,81.25,17,2,8,120,26,94,0.22,0.823,0.68,hard,0.441
Describe inheritance in scenario number 1218.,Computer Science,remember,49.0,41,1,24,192,156,36,0.816,0.21,0.843,easy,0.824
Calculate efficiency of machine with scenario number 1219.,Engineering Aptitude,create,82.99,16,3,14,257,70,187,0.276,0.748,0.663,hard,0.465
Evaluate matrix determinant for scenario number 1220.,Mathematics,understand,50.82,28,1,5,274,212,62,0.777,0.265,0.984,easy,0.872
Evaluate matrix determinant for scenario number 1221.,Mathematics,evaluate,78.77,28,1,5,278,47,231,0.169,0.868,0.766,hard,0.46
Describe inheritance in scenario number 1222.,Computer Science,remember,52.14,25,3,16,185,165,20,0.893,0.154,0.933,easy,0.904
Calculate electric field for scenario number 1223.,Physics,understand,47.5,36,1,19,227,169,58,0.745,0.279,0.749,easy,0.742
Describe inheritance in scenario number 1224.,Computer Science,evaluate,74.3,39,3,14,113,15,98,0.14,0.886,0.89,hard,0.51
Determine stress on beam under scenario number 1225.,Engineering Aptitude,apply,58.91,38,1,8,243,106,137,0.438,0.569,0.874,medium,0.655
Apply Newton law to system scenario number 1226.,Physics,analyze,62.04,20,3,20,179,108,71,0.606,0.395,0.656,medium,0.631
Implement binary search for scenario number 1227.,Computer Science,apply,64.57,18,3,23,179,53,126,0.298,0.72,0.835,hard,0.563
Solve the quadratic equation scenario number 1228.,Mathematics,analyze,64.64,26,1,20,231,116,115,0.502,0.537,0.788,medium,0.637
Implement binary search for scenario number 1229.,Computer Science,understand,54.78,15,1,18,108,88,20,0.815,0.231,0.573,easy,0.685
Compute circuit resistance for scenario number 1230.,Physics,remember,54.56,16,3,13,107,88,19,0.827,0.211,0.993,easy,0.902
Compute circuit resistance for scenario number 1231.,Physics,create,73.61,48,1,23,219,74,145,0.338,0.685,0.769,hard,0.549
Analyze flowchart representing scenario number 1232.,Engineering Aptitude,analyze,69.93,31,1,14,236,143,93,0.609,0.438,0.771,medium,0.681
Analyze flowchart representing scenario number 1233.,Engineering Aptitude,remember,51.53,41,1,19,236,201,35,0.853,0.177,0.519,easy,0.68
Find derivative of function scenario number 1234.,Mathematics,create,79.76,15,1,7,162,22,140,0.141,0.871,0.888,hard,0.512
Analyze time complexity of scenario number 1235.,Computer Science,apply,69.57,39,1,12,234,137,97,0.588,0.462,0.767,medium,0.667
Apply Newton law to system scenario number 1236.,Physics,create,72.26,22,3,12,264,81,183,0.309,0.721,0.73,hard,0.514
Find derivative of function scenario number 1237.,Mathematics,understand,45.47,46,1,12,225,178,47,0.795,0.255,0.99,easy,0.883
Explain database normalization of scenario number 1238.,Computer Science,understand,53.23,30,1,18,229,179,50,0.782,0.263,0.581,easy,0.672
